Dependency	Source	Used by	Path to learning signal	v3 relevance	Active?
terminal HARD_KILL +b_net(1−w_kill)	동일	M4 보상	w_kill=0.5 기본 → +0.5. sweep 축	contact-kill(HARD_KILL 라벨 재사용)도 동일 항	ACTIVE
★ terminal CAPTURE_WITH_CONTACT = 0	env_sys.py 라벨 → RewardSpec.terminal(명시 분기)	M4 보상	[해소 2026-08-08] docs/66 r1 비준 Q1: CWC = nondestructive-capture class, terminal = +b_net (NET_CAPTURE 동일). 우연한 else=0 제거 (커밋 08c7a31, test_terminal_truth_table 이 고정)	B1 trace: 같은 tick destructive KILL 은 항상 HARD_KILL 라벨 → CWC 에 파괴 혼입 없음. 보상/지표 두-술어 divergence 는 보상값 동일로 무해화 (행 12 canonical test)	RESOLVED (2026-08-08)
terminal PENETRATED −1 / TRUNCATED −1	RewardSpec	M4 보상	보상은 절단=미격퇴 벌점, 지표는 우측절단 보존 — 선언된 분리 (docs/26)	episode_len_train 1100 에서 TRUNCATED=0 강제 게이트 (docs/61)	ACTIVE
terminal SPENT_FAIL = 0 (중립)	RewardSpec.terminal else	M4 보상	docs/26 선언 유지. R2 on 이면 SPENT_FAIL 은 종료 라벨로 안 나옴	—	ACTIVE (선언 일치)
SystemSpec.contact_resolver / miss_terminates 미노출	train_m4.build_specs (train_m4.py:448-450) 가 두 플래그를 전달 안 함 → 기본 off	build_m4_env → ModeSystemEnv	★ MARL 재개 시 학습 env 가 R1/R2 이전 계약(비준 비정합 판정된 것)으로 돈다: 접촉 무력화 없음·miss 즉시 종료	v3 frontier 질문과 정면 충돌 — 재배선 전 학습 금지	MARL_BLOCKER
train_m4 env 스택 = legacy 스케일·legacy 공격자	train_m4.py:129 m4_config() · build_specs AttackerSpec(level A1/A2/A3) · SpawnSpec() 기본	build_m4_env	scale_v2/threat_v3/standby/draw_threat_v3 배선 없음 — 현 CLI 로 v3 학습 불가 (조용히 legacy 24m·무반응 A2 로 돌게 됨)	docs/61 P92 배선 + 비준 후 재배선 필요	MARL_BLOCKER (배선 부재)
RunningNorm (관측 정규화)	train_mappo.py:159 norm.normalize(obs, update=True)	모든 actor/critic 입력	누적 무망각 (env_sys PARK 주석 참조). 저장 = obs_norm_*.json	v2/v3 좌표 ~300·episode_len 1100·standby jitter U[8,16]·spawn 방위 랜덤 → 정규화 통계의 스케일/분산 구조가 legacy 와 전혀 다름 (docs/59 등재). 체크포인트 재사용 금지	ACTIVE
threat_obs 2차원	obs_threat.attach_threat_obs (m4_env.py:74)	관측 확장 (a_att, att_speed)	위협 draw 를 정책이 관측 — regime-blind ablation 은 --no-threat-obs	v3 TRAIN 분포축 (route_gain 등) 은 관측에 없음 — 정책은 위협 반응성을 관측 불가 (암묵 domain randomization)	ACTIVE
limiter commit bit (idx3)	M4_LIVE_DIMS → MixedActor Bernoulli	env_sys 커밋 제안 (:276)	ent_coef_limiter=0.0 → 확률 붕괴 위험 (mappo.py:112-120 주석 선언)	standby 기하에서 커밋 기회 분포 변화	ACTIVE
BC aim (bc_lambda)	train_m4 --aim-bc (aux=0.1)	mappo.update L += λ·L_BC (actor 손실 직접)	기본 none → 0.0 → P65 bit-identical	BCa 라인은 legacy 진단용 — v3 재개 시 별도 결정	DORMANT_BY_CONFIG
freeze_limiter/finisher	train_m4 --limiter-policy/--finisher-policy	no_grad + 손실 제외 + KL 제외	기본 (learned,learned) → off	역할분리 재실험 시만	DORMANT_BY_CONFIG
l2_mappo.yaml randomize 블록	config	train_mappo(2C) 만 사용; train_m4 는 rand_cfg=None (train_m4.py:185)	M4 경로에서 무영향 (위협 랜덤화는 m4_config draw 가 담당)	—	DEAD (M4 경로 한정)
adversary 보상 (−J + M4 재작성)	env.py:394, env_sys.py:385 (전 agent 재작성)	아무도 소비 안 함 (공격자는 스크립트)	gradient 미도달	—	DEAD (학습 신호로는)
env.capture_thresh / omega_att_max=8.0	env.py:89/:345	params.py DEAD 등재	미도달	—	DEAD
theta_fire=0.9	roles.FireGate ← params CALIBRATED (legacy 기하 보정)	FSM fire gate → clean_crossed → λ1 + 발사 자체	간접 (게이트가 보상 이벤트 정의)	v2 에서 hold 게이트 붕괴 실측 (fire 19/100, docs/59 §3.1) — 값 자체가 아니라 기하가 원인이었으나, 보정 근거가 legacy 임은 사실	ACTIVE / SENSITIVITY_LATER
